Linguagem,Projeto,Numero de Tokens de Codigo Fonte (Excluindo Tokens de Comentario),Numero de Tokens apenas dos Comentarios,Numero Total de Tokens do Projeto,NTCF/NTTP (%),NTC/NTTP (%),Numero de Caracteres de Codigo Fonte (Excluindo Caracteres de Comentario),Numero de Caracteres apenas dos Comentarios,Numero Total de Carateres do Projeto,NCCF/NTCP (%),NCC/NTCP (%)
JavaScript,markedjs | marked,26472,1151,27623,95.83,4.17,84194,4597,88791,94.82,5.18
JavaScript,Meituan-Dianping | mpvue,770737,99721,870458,88.54,11.46,2674939,431155,3106094,86.12,13.88
JavaScript,meteor | meteor,1625905,409771,2035676,79.87,20.13,5733015,1667382,7400397,77.47,22.53
JavaScript,Microsoft | monaco-editor,559638,3087,562725,99.45,0.55,3416114,13900,3430014,99.59,0.41
JavaScript,mobxjs | mobx,78853,2906,81759,96.45,3.55,223479,11532,235011,95.09,4.91
JavaScript,mochajs | mocha,124392,23763,148155,83.96,16.04,482143,85002,567145,85.01,14.99
JavaScript,Modernizr | Modernizr,57600,44534,102134,56.40,43.60,242395,166413,408808,59.29,40.71
JavaScript,mojs | mojs,382846,42703,425549,89.97,10.03,1170235,156478,1326713,88.21,11.79
JavaScript,moment | moment,1932233,53492,1985725,97.31,2.69,6812422,203421,7015843,97.10,2.90
JavaScript,MostlyAdequate | mostly-adequate-guide,9518,2326,11844,80.36,19.64,37381,8263,45644,81.90,18.10
JavaScript,mozilla | pdf.js,632071,106802,738873,85.55,14.45,2371071,441731,2812802,84.30,15.70
JavaScript,mrdoob | three.js,5885314,181195,6066509,97.01,2.99,13392724,758064,14150788,94.64,5.36
JavaScript,MrRio | jsPDF,1570107,145530,1715637,91.52,8.48,6805982,563694,7369676,92.35,7.65
JavaScript,mui-org | material-ui,835859,62827,898686,93.01,6.99,4888841,244469,5133310,95.24,4.76
JavaScript,mysqljs | mysql,99184,4515,103699,95.65,4.35,427121,18532,445653,95.84,4.16
JavaScript,naptha | tesseract.js,100553,17570,118123,85.13,14.87,317855,68245,386100,82.32,17.68
JavaScript,NARKOZ | hacker-scripts,1510,282,1792,84.26,15.74,5279,1160,6439,81.98,18.02
JavaScript,NervJS | taro,354803,26143,380946,93.14,6.86,1573002,135053,1708055,92.09,7.91
