Linguagem,Projeto,Numero de Tokens de Codigo Fonte (Excluindo Tokens de Comentario),Numero de Tokens apenas dos Comentarios,Numero Total de Tokens do Projeto,NTCF/NTTP (%),NTC/NTTP (%),Numero de Caracteres de Codigo Fonte (Excluindo Caracteres de Comentario),Numero de Caracteres apenas dos Comentarios,Numero Total de Carateres do Projeto,NCCF/NTCP (%),NCC/NTCP (%),Numero de Linhas de Codigo Fonte (Excluindo Linhas de Comentario),Numero de Linhas apenas do Comentarios,Numero Total de Linhas do Projeto,NLCF/NTLP (%),NLC/NTLP (%)
Visual Basic,NYAN-x-CAT | Lime-RAT,133449,17567,151016,88.37,11.63,559198,63867,623065,89.75,10.25,15641,2310,17951,87.13,12.87
Visual Basic,DioJoestar | SteamCMD-GUI,17149,1635,18784,91.30,8.70,83191,7082,90273,92.15,7.85,2091,517,2608,80.18,19.82
Visual Basic,parkrun | parkrunAPI,2353,1894,4247,55.40,44.60,13682,6523,20205,67.72,32.28,332,188,520,63.85,36.15
Visual Basic,ventrian | News-Articles,239702,66618,306320,78.25,21.75,1196996,244013,1441009,83.07,16.93,31600,9813,41413,76.30,23.70
Visual Basic,xieguigang | sciBASIC,1292425,1222442,2514867,51.39,48.61,5598424,5041001,10639425,52.62,47.38,186993,164660,351653,53.18,46.82
Visual Basic,NYAN-x-CAT | Lime-Miner,23036,1253,24289,94.84,5.16,92063,4759,96822,95.08,4.92,2662,263,2925,91.01,8.99
Visual Basic,krijnsent | crypto_vba,28637,14006,42643,67.16,32.84,138535,53428,191963,72.17,27.83,3968,1144,5112,77.62,22.38
Visual Basic,bodrick | Ember-MM,867579,117146,984725,88.10,11.90,3694317,326309,4020626,91.88,8.12,92458,13642,106100,87.14,12.86
Visual Basic,ImminentFate | CompactGUI,41435,2035,43470,95.32,4.68,172696,8756,181452,95.17,4.83,3992,585,4577,87.22,12.78
Visual Basic,N-able | ScriptsAndAutomationPolicies,18224,15055,33279,54.76,45.24,131274,68213,199487,65.81,34.19,3110,1249,4359,71.35,28.65
Visual Basic,itm4n | VBA-RunPE,2945,2587,5532,53.24,46.76,17397,11443,28840,60.32,39.68,529,155,684,77.34,22.66
Visual Basic,VBGAMER45 | Semi-VB-Decompiler,190691,38134,228825,83.33,16.67,783953,157212,941165,83.30,16.70,26271,6827,33098,79.37,20.63
